iter	Passed	Remaining
243	40511	291548
244	40708	291603
245	40893	291572
246	41069	291474
247	41269	291546
248	41472	291640
249	41644	291512
250	41825	291442
251	41996	291308
252	42185	291298
253	42344	291078
254	42518	290957
255	42734	291129
256	42949	291286
257	43119	291142
258	43298	291052
259	43478	290974
260	43663	290925
261	43834	290782
262	44006	290646
263	44166	290430
264	44327	290220
265	44525	290250
266	44699	290130
267	44862	289931
268	45047	289877
269	45219	289739
270	45416	289759
271	45582	289584
272	45780	289605
273	45964	289541
274	46112	289249
275	46325	289364
276	46484	289141
277	46640	288902
278	46818	288795
279	46986	288633
280	47140	288379
281	47328	288337
282	47497	288175
283	47681	288105
284	47851	287945
285	48041	287910
286	48227	287849
287	48374	287557
288	48551	287444
289	48745	287431
290	48933	287377
291	49126	287355
292	49291	287168
293	49458	286993
294	49633	286867
295	49811	286753
296	49973	286549
297	50148	286417
298	50369	286548
299	50538	286383
300	50735	286379
301	50902	286200
302	51075	286058
303	51249	285919
304	51421	285766
305	51578	285535
306	51732	285286
307	51918	285215
308	52078	284999
309	52250	284848
310	52444	284820
311	52634	284768
312	52820	284690
313	53017	284671
314	53198	284569
315	53402	284587
316	53593	284537
317	53799	284561
318	53966	284382
319	54158	284331
320	54365	284362
321	54529	284163
322	54672	283857
323	54883	283902
324	55024	283589
325	55184	283368
326	55344	283152
327	55539	283116
328	55697	282891
329	55882	282797
330	56065	282699
331	56211	282410
332	56380	282241
333	56569	282172
334	56725	281932
335	56903	281808
336	57166	282101
337	57346	281981
338	57507	281768
339	57697	281699
340	57875	281571
341	58033	281341
342	58208	281199
343	58362	280955
344	58522	280738
345	58692	280569
346	58860	280392
347	59013	280144
348	59197	280044
349	59389	279978
350	59559	279810
351	59713	279565
352	59875	279361
353	60074	279330
354	60248	279180
355	60421	279027
356	60585	278827
357	60754	278658
358	60907	278408
359	61068	278200
360	61224	277967
361	61365	277672
362	61532	277491
363	61715	277380
364	61875	277169
365	62034	276952
366	62194	276740
367	62360	276553
368	62521	276349
369	62698	276211
370	62852	275975
371	63025	275820
372	63195	275656
373	63357	275451
374	63525	275277
375	63687	275076
376	63858	274914
377	64016	274695
378	64191	274551
379	64341	274297
380	64483	274011
381	64697	274031
382	64893	273976
383	65089	273918
384	65273	273811
385	65418	273536
386	65572	273303
387	65766	273235
388	65931	273046
389	66121	272961
390	66270	272708
391	66407	272407
392	66559	272163
393	66750	272084
394	66910	271876
395	67061	271633
396	67231	271464
397	67393	271266
398	67539	271002
399	67695	270780
400	67825	270456
401	67991	270275
402	68165	270124
403	68326	269922
404	68518	269845
405	68705	269745
406	68859	269515
407	69029	269349
408	69226	269290
409	69381	269066
410	69566	268954
411	69749	268842
412	69917	268667
413	70067	268422
414	70233	268240
415	70390	268026
416	70565	267877
417	70728	267686
418	70919	267598
419	71060	267323
420	71205	267063
421	71390	266952
422	71590	266898
423	71748	266687
424	71931	266569
425	72087	266352
426	72236	266107
427	72405	265939
428	72545	265660
429	72704	265456
430	72861	265244
431	73003	264974
432	73143	264702
433	73317	264551
434	73495	264413
435	73659	264227
436	73854	264150
437	74023	263982
438	74177	263762
439	74308	263459
440	74441	263160
441	74598	262949
442	74764	262772
443	74907	262513
444	75107	262453
445	75260	262229
446	75385	261909
447	75520	261624
448	75655	261339
449	75807	261113
450	75978	260955
451	76140	260765
452	76287	260523
453	76449	260332
454	76604	260119
455	76761	259910
456	76901	259647
457	77056	259434
458	77199	259181
459	77337	258912
460	77475	258644
461	77625	258414
462	77782	258212
463	77916	257931
464	78125	257898
465	78274	257667
466	78449	257521
467	78617	257354
468	78729	257004
469	78867	256739
470	79021	256525
471	79183	256339
472	79336	256123
473	79531	256043
474	79677	255805
475	79815	255542
476	79942	255246
477	80099	255045
478	80260	254855
479	80384	254550
480	80533	254323
481	80690	254125
482	80822	253847
483	80968	253611
484	81118	253390
485	81282	253212
486	81433	252994
487	81567	252726
488	81725	252528
489	81863	252273
490	82011	252049
491	82187	251906
492	82322	251642
493	82452	251364
494	82595	251125
495	82759	250947
496	82922	250770
497	83066	250535
498	83232	250365
499	83355	250067
500	83499	249831
501	83655	249634
502	83833	249500
503	83977	249266
504	84150	249118
505	84308	248925
506	84489	248803
507	84649	248617
508	84794	248387
509	84943	248169
510	85073	247895
511	85252	247766
512	85402	247550
513	85582	247422
514	85708	247140
515	85867	246951
516	86020	246746
517	86175	246547
518	86317	246313
519	86464	246089
520	86667	246029
521	86810	245796
522	86952	245563
523	87104	245355
524	87269	245186
525	87441	245036
526	87591	244823
527	87712	244532
528	87859	244312
529	88010	244105
530	88218	244055
531	88357	243813
532	88503	243592
533	88660	243401
534	88829	243242
535	88979	243033
536	89107	242764
537	89229	242478
538	89380	242273
539	89525	242051
540	89660	241800
541	89792	241544
542	89915	241265
543	90044	241001
544	90196	240800
545	90345	240589
546	90490	240370
547	90654	240202
548	90795	239970
549	90982	239864
550	91160	239730
551	91322	239556
552	91462	239323
553	91624	239151
554	91804	239023
555	91970	238858
556	92156	238746
557	92280	238475
558	92429	238267
559	92568	238033
560	92717	237827
561	92881	237658
562	93064	237537
563	93188	237266
564	93343	237076
565	93496	236880
566	93639	236658
567	93804	236493
568	93970	236330
569	94152	236206
570	94348	236118
571	94514	235956
572	94658	235738
573	94807	235531
574	94946	235303
575	95101	235111
576	95244	234891
577	95419	234752
578	95584	234586
579	95744	234408
580	95902	234226
581	96042	233999
582	96181	233772
583	96332	233573
584	96483	233374
585	96599	233092
586	96733	232851
587	96847	232566
588	97006	232387
589	97149	232170
590	97277	231919
591	97459	231794
592	97599	231572
593	97747	231367
594	97930	231248
595	98055	230989
596	98204	230788
597	98384	230661
598	98553	230506
599	98724	230356
600	98876	230164
601	99039	229994
602	99184	229786
603	99321	229558
604	99488	229399
605	99608	229132
606	99746	228906
607	99899	228718
608	100028	228472
609	100142	228194
610	100260	227925
611	100429	227770
612	100563	227540
613	100725	227370
614	100899	227229
615	101034	226998
616	101149	226725
617	101287	226503
618	101423	226276
619	101553	226039
620	101690	225814
621	101853	225650
622	102018	225489
623	102157	225269
624	102309	225079
625	102477	224926
626	102628	224735
627	102778	224540
628	102955	224407
629	103111	224226
630	103263	224038
631	103424	223868
632	103587	223703
633	103762	223563
634	103919	223385
635	104068	223190
636	104221	223003
637	104368	222806
638	104530	222638
639	104701	222491
640	104847	222290
641	105005	222114
642	105151	221914
643	105291	221700
644	105438	221503
645	105596	221328
646	105739	221122
647	105873	220896
648	106010	220677
649	106178	220523
650	106331	220340
651	106493	220173
652	106655	220008
653	106805	219817
654	106957	219630
655	107088	219401
656	107253	219240
657	107407	219059
658	107532	218818
659	107669	218602
660	107817	218407
661	108004	218293
662	108153	218101
663	108294	217894
664	108478	217773
665	108602	217531
666	108744	217325
667	108871	217091
668	109012	216883
669	109148	216668
670	109358	216598
671	109507	216408
672	109661	216227
673	109824	216064
674	109973	215874
675	110086	215612
676	110222	215397
677	110371	215208
678	110527	215031
679	110664	214819
680	110837	214677
681	110975	214466
682	111097	214225
683	111230	214004
684	111378	213813
685	111519	213610
686	111672	213429
687	111817	213232
688	111950	213014
689	112089	212807
690	112216	212577
691	112342	212346
692	112497	212169
693	112639	211969
694	112788	211782
695	112969	211655
696	113100	211434
697	113209	211172
698	113340	210953
699	113485	210758
700	113638	210579
701	113780	210380
702	113937	210209
703	114087	210025
704	114253	209869
705	114400	209679
706	114565	209524
707	114703	209317
708	114838	209105
709	114967	208884
710	115116	208699
711	115284	208547
712	115427	208352
713	115580	208175
714	115778	208077
715	115953	207938
716	116087	207726
717	116221	207514
718	116388	207361
719	116529	207164
720	116666	206956
721	116864	206859
722	117039	206721
723	117192	206542
724	117328	206335
725	117472	206142
726	117608	205935
727	117750	205740
728	117894	205547
729	118069	205408
730	118214	205218
731	118362	205032
732	118507	204841
733	118634	204620
734	118812	204487
735	118993	204359
736	119151	204190
737	119313	204028
738	119450	203825
739	119560	203576
740	119688	203356
741	119808	203125
742	119956	202940
743	120117	202779
744	120254	202575
745	120390	202371
746	120542	202194
747	120678	201991
748	120841	201832
749	120993	201655
750	121166	201513
751	121306	201317
752	121474	201167
753	121618	200977
754	121792	200836
755	121940	200654
756	122093	200478
757	122235	200286
758	122388	200111
759	122553	199955
760	122716	199796
761	122849	199590
762	123037	199473
763	123179	199280
764	123330	199102
765	123486	198933
766	123644	198766
767	123791	198581
768	123931	198387
769	124097	198232
770	124242	198046
771	124394	197870
772	124572	197736
773	124711	197540
774	124844	197334
775	125025	197205
776	125163	197006
777	125308	196820
778	125455	196638
779	125612	196470
780	125782	196324
781	125929	196141
782	126079	195962
783	126226	195779
784	126356	195570
785	126509	195396
786	126661	195223
787	126826	195067
788	126995	194919
789	127157	194760
790	127310	194586
791	127443	194383
792	127572	194173
793	127709	193976
794	127828	193752
795	127977	193573
796	128104	193362
797	128236	193158
798	128390	192986
799	128512	192768
800	128671	192605
801	128826	192436
802	128993	192285
803	129157	192129
804	129283	191917
805	129492	191828
806	129675	191701
807	129780	191459
808	129920	191267
809	130058	191074
810	130218	190911
811	130399	190782
812	130525	190570
813	130704	190436
814	130838	190237
815	130992	190067
816	131129	189872
817	131262	189672
818	131426	189517
819	131565	189325
820	131736	189180
821	131867	188977
822	132010	188793
823	132157	188612
824	132276	188393
825	132428	188222
826	132556	188015
827	132707	187842
828	132833	187632
829	132957	187422
830	133088	187221
831	133258	187074
832	133409	186902
833	133550	186713
834	133689	186525
835	133802	186299
836	133943	186112
837	134102	185950
838	134253	185778
839	134391	185587
840	134538	185410
841	134701	185254
842	134853	185083
843	134992	184894
844	135196	184795
845	135343	184618
846	135475	184419
847	135623	184243
848	135781	184080
849	135927	183902
850	136092	183748
851	136207	183527
852	136363	183363
853	136574	183271
854	136771	183162
855	137048	183157
856	137174	182952
857	137334	182793
858	137573	182737
859	137908	182808
860	138128	182727
861	138274	182548
862	138405	182348
863	138589	182219
864	138739	182045
865	138912	181901
866	139061	181726
867	139188	181521
868	139397	181425
869	139572	181283
870	139725	181113
871	139906	180979
872	140043	180789
873	140194	180616
874	140337	180433
875	140489	180262
876	140603	180042
877	140792	179919
878	140922	179719
879	141058	179528
880	141206	179353
881	141339	179157
882	141476	178968
883	141643	178816
884	141812	178668
885	141947	178475
886	142124	178337
887	142272	178161
888	142418	177982
889	142553	177791
890	142711	177628
891	142850	177441
892	142979	177243
893	143128	177069
894	143286	176906
895	143413	176705
896	143576	176549
897	143710	176357
898	143867	176193
899	144008	176010
900	144164	175845
901	144306	175663
902	144463	175500
903	144620	175336
904	144785	175182
905	144926	174999
906	145087	174840
907	145220	174648
908	145356	174459
909	145478	174253
910	145653	174112
911	145788	173923
912	145942	173756
913	146094	173586
914	146255	173429
915	146429	173285
916	146587	173123
917	146758	172976
918	146900	172796
919	147029	172600
920	147150	172394
921	147288	172209
922	147455	172058
923	147591	171870
924	147743	171702
925	147908	171548
926	148054	171372
927	148199	171196
928	148313	170983
929	148463	170813
930	148587	170612
931	148777	170487
932	148953	170346
933	149087	170157
934	149227	169975
935	149370	169796
936	149503	169607
937	149647	169429
938	149785	169246
939	149959	169103
940	150091	168912
941	150249	168751
942	150397	168579
943	150521	168379
944	150666	168204
945	150837	168058
946	150987	167887
947	151124	167703
948	151256	167514
949	151429	167369
950	151596	167218
951	151771	167076
952	151895	166877
953	152046	166709
954	152237	166584
955	152393	166421
956	152555	166264
957	152670	166057
958	152822	165889
959	152979	165727
960	153136	165566
961	153275	165384
962	153404	165192
963	153534	165002
964	153665	164812
965	153862	164692
966	154001	164512
967	154179	164373
968	154343	164218
969	154492	164048
970	154641	163879
971	154764	163680
972	154906	163503
973	155048	163326
974	155246	163208
975	155413	163056
976	155633	162960
977	155779	162787
978	155912	162601
979	156044	162414
980	156191	162241
981	156330	162061
982	156458	161870
983	156630	161724
984	156777	161552
985	156918	161374
986	157062	161199
987	157182	161000
988	157330	160829
989	157467	160648
990	157596	160459
991	157709	160253
992	157866	160091
993	158007	159915
994	158184	159774
995	158338	159610
996	158460	159414
997	158593	159228
998	158752	159069
999	158895	158895
1000	159034	158716
1001	159181	158546
1002	159382	158429
1003	159513	158241
1004	159670	158081
1005	159825	157919
1006	159960	157736
1007	160145	157603
1008	160291	157432
1009	160433	157256
1010	160570	157076
1011	160725	156914
1012	160884	156755
1013	161003	156557
1014	161154	156391
1015	161288	156208
1016	161480	156081
1017	161645	155928
1018	161785	155752
1019	161922	155572
1020	162058	155391
1021	162183	155201
1022	162375	155074
1023	162536	154917
1024	162680	154745
1025	162824	154572
1026	162991	154421
1027	163166	154277
1028	163393	154183
1029	163527	154001
1030	163684	153841
1031	163850	153689
1032	163998	153519
1033	164159	153363
1034	164310	153197
1035	164445	153016
1036	164606	152860
1037	164727	152666
1038	164878	152500
1039	165016	152323
1040	165170	152159
1041	165308	151982
1042	165455	151813
1043	165616	151656
1044	165752	151477
1045	165882	151292
1046	166004	151100
1047	166145	150925
1048	166301	150765
1049	166430	150579
1050	166562	150397
1051	166708	150227
1052	166834	150040
1053	166969	149860
1054	167101	149678
1055	167247	149508
1056	167386	149333
1057	167525	149158
1058	167666	148984
1059	167823	148824
1060	167985	148669
1061	168149	148516
1062	168345	148391
1063	168468	148201
1064	168603	148022
1065	168774	147876
1066	168930	147715
1067	169065	147536
1068	169198	147356
1069	169350	147192
1070	169487	147015
1071	169614	146830
1072	169737	146642
1073	169853	146446
1074	169967	146250
1075	170118	146086
1076	170225	145884
1077	170372	145717
1078	170506	145538
1079	170652	145370
1080	170815	145216
1081	170955	145043
1082	171095	144870
1083	171275	144730
1084	171427	144567
1085	171589	144412
1086	171746	144254
1087	171885	144080
1088	172029	143910
1089	172190	143755
1090	172342	143592
1091	172465	143405
1092	172620	143245
1093	172776	143085
1094	172890	142891
1095	173019	142709
1096	173149	142528
1097	173312	142375
