iter	Logloss
0	0.6740534001
1	0.6552432811
2	0.6371568106
3	0.6195972017
4	0.6029305802
5	0.5868319701
6	0.5709374079
7	0.555822818
8	0.5414035433
9	0.5273701342
10	0.5137498917
11	0.5002964894
12	0.4873603368
13	0.4748132318
14	0.4631252334
15	0.4512763618
16	0.4403187496
17	0.4296905419
18	0.419194742
19	0.4093817862
20	0.3996558301
21	0.3901497285
22	0.3812287329
23	0.3723889996
24	0.3641011069
25	0.355811442
26	0.3478743548
27	0.3403426537
28	0.3329711688
29	0.3260307953
30	0.3191840052
31	0.3125347531
32	0.3060520964
33	0.2998861511
34	0.2938704186
35	0.2882685221
36	0.2832150111
37	0.2783625638
38	0.2731891737
39	0.2681225057
40	0.2632301985
41	0.2585272266
42	0.2539923125
43	0.2496801425
44	0.2453714757
45	0.2412809668
46	0.2373829697
47	0.2338560784
48	0.2304496221
49	0.2267968
50	0.2233311486
51	0.2199523372
52	0.2166389466
53	0.2135946382
54	0.2104454757
55	0.2075189155
56	0.2046291824
57	0.2018657682
58	0.1992039621
59	0.1966087122
60	0.1940759375
61	0.1916824309
62	0.1895160423
63	0.1872574477
64	0.1850848234
65	0.1829305275
66	0.1808147152
67	0.1790227031
68	0.1772703133
69	0.1756557207
70	0.173980665
71	0.1722478638
72	0.1705876722
73	0.1691623156
74	0.1674804396
75	0.1661170719
76	0.1645269555
77	0.1632399969
78	0.1618159639
79	0.1603984105
80	0.1591741554
81	0.157851892
82	0.156515658
83	0.155395117
84	0.1543618185
85	0.1531560656
86	0.1521956826
87	0.1510458591
88	0.1499383392
89	0.148896252
90	0.1480609582
91	0.147028572
92	0.1462420216
93	0.1452810825
94	0.1443476788
95	0.143453192
96	0.1427013889
97	0.1418310826
98	0.1409537758
99	0.1401715617
100	0.139347191
101	0.1385717899
102	0.1378511902
103	0.1371234085
104	0.1365180319
105	0.135859388
106	0.1351893692
107	0.1345301358
108	0.1339119856
109	0.1332802399
110	0.1327094197
111	0.1321470492
112	0.1315498666
113	0.1309975277
114	0.1304693763
115	0.1299863483
116	0.1294734541
117	0.129014404
118	0.1285619489
119	0.1280899909
120	0.1276358486
121	0.1272081487
122	0.1268792371
123	0.1264618424
124	0.1260803514
125	0.1256761035
126	0.1252849869
127	0.1249039544
128	0.1245330574
129	0.124269638
130	0.1239046937
131	0.1235646626
132	0.1232374902
133	0.1229550826
134	0.1226521656
135	0.1223423061
136	0.1220652457
137	0.1218284812
138	0.1215583864
139	0.1212741238
140	0.1209975474
141	0.120710304
142	0.1204502019
143	0.1201795513
144	0.119950971
145	0.1197053874
146	0.1194587289
147	0.1192388821
148	0.1190103425
149	0.1187808733
150	0.1185876617
151	0.1183768175
152	0.1181981693
153	0.1180643109
154	0.1178682191
155	0.1176805943
156	0.1174957323
157	0.1173469504
158	0.1171936792
159	0.1170191408
160	0.11685167
161	0.1167139933
162	0.1165566309
163	0.1163957716
164	0.1162496807
165	0.1160968686
166	0.1159587336
167	0.1158261632
168	0.1156820727
169	0.1155415562
170	0.1153966689
171	0.1152634717
172	0.1151415178
173	0.1150365119
174	0.1149103356
175	0.1147945128
176	0.1147017485
177	0.1145941716
178	0.1144832045
179	0.1143759555
180	0.1142671352
181	0.1141762952
182	0.1140797372
183	0.1139803378
184	0.1138775783
185	0.1137819384
186	0.1136906057
187	0.1136014539
188	0.1135121992
189	0.1134228839
190	0.1133402304
191	0.1132556553
192	0.1131799537
193	0.1130916409
194	0.1130062323
195	0.1129298282
196	0.1128599696
197	0.1128001845
198	0.1127264104
199	0.1126594914
200	0.1125808483
201	0.1125090217
202	0.112450992
203	0.1123854995
204	0.1123239121
205	0.1122548968
206	0.1122003268
207	0.112135727
208	0.1120797472
209	0.112027198
210	0.1119717802
211	0.1119222841
212	0.111871572
213	0.1118165954
214	0.111768891
215	0.1117130668
216	0.1116618678
217	0.111620384
218	0.1115735327
